time	P	ES	E	S
0.19500000000000015	6.100695894174088	0.09323780258584109	0.9067621974141583	0.755718356153034
0.19600000000000015	6.109949828019241	0.09184360526867598	0.9081563947313234	0.7432316527024685
0.19700000000000015	6.119065191602656	0.09046638474698723	0.9095336152530121	0.7309358278490349
0.19800000000000015	6.128043677863873	0.0891060456793751	0.9108939543206243	0.7188284375248211
0.19900000000000015	6.13688697007087	0.08776248999434	0.9122375100056593	0.7069070548993609
0.20000000000000015	6.145596741552086	0.08643561699089007	0.9135643830091092	0.6951692706809882
0.20100000000000015	6.154174655438478	0.0851253234385909	0.9148746765614084	0.6836126934036986
0.20200000000000015	6.162622364415561	0.08383150367697115	0.9161684963230282	0.6722349496996948
0.20300000000000015	6.170941510485336	0.0825540497142021	0.9174459502857972	0.6610336845578014
0.20400000000000015	6.179133724738063	0.08129285132497228	0.918707148675027	0.650006561567941
0.20500000000000015	6.187200627133767	0.08004779614748242	0.9199522038525169	0.6391512631518745
0.20600000000000016	6.195143826293403	0.07881876977948934	0.9211812302205099	0.6284654907804135
0.20700000000000016	6.202964919299571	0.07760565587333142	0.9223943441266679	0.6179469651773195
0.20800000000000016	6.210665491506682	0.07640833622987135	0.9235916637701279	0.6075934265101138
0.20900000000000016	6.21824711636046	0.0752266908912964	0.9247733091087029	0.5974026345680219
0.21000000000000016	6.225711355226668	0.07406059823271881	0.9259394017672805	0.5873723689272877
0.21100000000000016	6.2330597572289275	0.07290993505252374	0.9270900649474756	0.5775004291040934
0.21200000000000016	6.2402938590955115	0.07177457666141467	0.9282254233385847	0.5677846346953266
0.21300000000000016	6.247415185014972	0.07065439697011001	0.9293456030298893	0.5582228255074402
0.21400000000000016	6.254425246500472	0.06954926857564853	0.9304507314243509	0.5488128616736526
0.21500000000000016	6.26132554226267	0.06845906284626325	0.9315409371537361	0.5395526237597407
0.21600000000000016	6.268117558091028	0.06738365000478834	0.932616349995211	0.530440012858678
0.21700000000000016	6.274802766743378	0.06632289921056529	0.9336771007894341	0.5214729506743754
0.21800000000000017	6.281382627843607	0.06527667863981877	0.9347233213601807	0.5126493795947792
0.21900000000000017	6.287858587787296	0.06424485556447496	0.9357551444355244	0.5039672627545889
0.22000000000000017	6.294232079655173	0.06322729642939849	0.9367727035706009	0.49542458408785006
0.22100000000000017	6.300504523134197	0.062223866928026894	0.9377761330719725	0.487019348370685
0.22200000000000017	6.306677324446135	0.061234432076384085	0.9387655679236153	0.4787495812544206
0.22300000000000017	6.312751876283452	0.0602588562854574	0.939741143714542	0.4706133292893727
0.22400000000000017	6.318729557752357	0.05929700343192503	0.9407029965680743	0.46260865993954764
0.22500000000000017	6.324611734322843	0.058348736927223484	0.9416512630727759	0.4547336615885185
0.22600000000000017	6.330399757785551	0.05741391978494693	0.9425860802150524	0.4469864435367349
0.22700000000000017	6.336094966215276	0.05649241468657276	0.9435075853134266	0.4393651359905215
0.22800000000000017	6.341698683940985	0.05558408404550989	0.9444159159544895	0.43186789004302173
0.22900000000000018	6.347212221522136	0.05468879006946852	0.9453112099305309	0.4244928776473374
0.23000000000000018	6.35263687573116	0.05380639482115213	0.9461936051788472	0.41723829158211756
0.23100000000000018	6.357973929541927	0.05293676027727445	0.9470632397227249	0.4101023454098438
0.23200000000000018	6.363224652124029	0.05207974838590612	0.9479202516140932	0.40308327342805866
0.23300000000000018	6.368390298842713	0.0512352211221574	0.9487647788778419	0.3961793306137811
0.23400000000000018	6.373472111264302	0.050403040542205194	0.9495969594577941	0.3893887925613491
0.23500000000000018	6.3784713171669365	0.04958306883567412	0.9504169311643251	0.38270995541392855
0.23600000000000018	6.383389130556469	0.048775168376382974	0.9512248316236163	0.37614113578892144
0.23700000000000018	6.3882267516873545	0.047979201771469374	0.9520207982285299	0.3696806706975064
0.23800000000000018	6.392985367088375	0.04719503190890673	0.9528049680910926	0.36332691745853857
0.23900000000000018	6.39766614959303	0.04642252200342906	0.9535774779965703	0.35707825360703405
0.24000000000000019	6.402270258374445	0.04566153564088014	0.9543384643591193	0.3509330767974594
0.2410000000000002	6.406798838984639	0.04491193682100492	0.9550880631789945	0.3448898047020437
0.2420000000000002	6.411253023397986	0.04417358999870204	0.9558264100012974	0.3389468749043267
0.2430000000000002	6.415633930058733	0.043446360123757036	0.9565536398762424	0.333102744788152
0.2440000000000002	6.419942663932413	0.042730112679077316	0.9572698873209221	0.3273558914223119
0.2450000000000002	6.424180316561009	0.04202471371745005	0.9579752862825494	0.32170481144104474
0.2460000000000002	6.428347966121721	0.04133002989684562	0.9586699701031538	0.31614802092058214
0.2470000000000002	6.432446677489186	0.040645928514289394	0.9593540714857101	0.3106840552519408
0.2480000000000002	6.436477502301025	0.03997227753832559	0.9600277224616739	0.30531146901014666
0.2490000000000002	6.440441479026556	0.039308945640097404	0.9606910543599021	0.3000288358200777
